Ticker,Name,Sector,Weight,Mcap_USD_Est,Country
DIB.AE,DB ISLAMIC BANK,Financials,0.06,68.95B,United Arab Emirates
DEWA.AE,DUBAI ELECTRICITY AND WATER AUTHOR,Utilities,0.03,144.50B,United Arab Emirates
AIRARABIA.AE,AIR ARABIA,Industrials,0.03,24.03B,United Arab Emirates
OUT.JO,OUTSURANCE GROUP LTD,Financials,0.03,104.22B,South Africa
024110.KS,INDUSTRIAL BANK OF KOREA,Financials,0.03,12.29B,Korea (South)
6990.HK,SICHUAN KELUN-BIOTECH BIOPHARMACEU,Health Care,0.03,14.00B,China
000858.SZ,WULIANGYE YIBIN LTD A,Consumer Staples,0.03,58.82B,China
TPE.WA,TAURON POLSKA ENERGIA SA,Utilities,0.03,16.77B,Poland
6886.HK,HUATAI SECURITIES LTD H,Financials,0.03,26.18B,China
PTRO.JK,PETROSEA,Materials,0.03,116493.87B,Indonesia
307950.KS,HYUNDAI AUTOEVER CORP,Information Technology,0.03,10.11B,Korea (South)
1766.HK,CRRC CORP LTD H,Industrials,0.03,33.95B,China
BHEL.NS,BHARAT HEAVY ELECTRICALS LTD,Industrials,0.03,11.18B,India
COROMANDEL.NS,COROMANDEL INTERNATIONAL LTD,Materials,0.03,8.24B,India
MTM.JO,MOMENTUM GROUP LTD,Financials,0.03,49.58B,South Africa
ABB.NS,ABB INDIA LTD,Industrials,0.03,12.68B,India
603993.SS,CHINA MOLYBDENUM LTD A,Materials,0.03,71.12B,China
MONET.PR,MONETA MONEY BNK,Financials,0.03,100.77B,Czech Republic
BRMS.JK,BUMI RESOURCES MINERALS,Materials,0.03,175812.20B,Indonesia
BFT.WA,BENEFIT SYSTEMS SA,Industrials,0.03,12.40B,Poland
